City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Businga,CD,3.3333,20.8833,69.58,99,93,2.84,light rain
287,Maragogi,BR,-9.0122,-35.2225,75.69,90,41,11.39,scattered clouds
288,Najran,SA,17.4924,44.1277,92.05,24,87,4.09,overcast clouds
289,Salinopolis,BR,-0.6136,-47.3561,77.85,84,15,9.01,few clouds
290,Canela,BR,-29.3656,-50.8156,59.67,90,0,5.37,clear sky
291,Sorland,NO,67.667,12.6934,57.06,79,41,13.62,scattered clouds
292,Pisco,PE,-13.7,-76.2167,64.45,77,0,9.22,clear sky
293,Berlevag,NO,70.8578,29.0864,60.6,87,75,13.8,broken clouds
294,Kalabo,ZM,-14.97,22.6814,58.14,60,63,6.69,broken clouds
295,Nata,PA,8.3333,-80.5167,80.47,84,100,9.31,overcast clouds
296,Rjukan,NO,59.8789,8.5941,64.44,97,100,4.18,light rain
297,Surdulica,RS,42.6906,22.1708,71.96,53,1,4.14,clear sky
298,Pontalina,BR,-17.525,-49.4472,73.13,32,3,4.72,clear sky
299,Dhuri,IN,30.3667,75.8667,85.35,67,8,5.46,clear sky
300,Ayabaca,PE,-4.6398,-79.7149,57.7,60,25,5.03,scattered clouds
301,Verkhniy Landekh,RU,56.8389,42.5994,49.89,82,9,5.77,clear sky
302,Old Saybrook,US,41.2918,-72.3762,87.96,69,0,9.22,clear sky
303,Kurud,IN,20.8322,81.7214,80.37,77,87,4.61,heavy intensity rain
304,Normandin,CA,48.8333,-72.5321,73.71,68,100,10.36,overcast clouds
305,Penzance,GB,50.1186,-5.5371,57.88,86,61,20.09,broken clouds
306,Long Beach,US,33.767,-118.1892,94.77,66,0,13.8,clear sky
307,Bondo,CD,3.8146,23.6866,69.1,99,99,2.24,overcast clouds
308,Jacqueville,CI,5.2052,-4.4146,78.37,78,93,16.69,light rain
309,Coihaique,CL,-45.5752,-72.0662,36.21,93,40,3.44,scattered clouds
310,Stromness,GB,58.965,-3.296,53.56,88,83,3.04,broken clouds
