City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Fortuna,US,2022-06-28 17:41:13,40.5982,-124.1573,65.35,73,100,9.22
253,Matara,LK,2022-06-28 17:41:13,5.9485,80.5353,77.99,88,56,10.47
254,Sao Joao Da Barra,BR,2022-06-28 17:41:14,-21.6403,-41.0511,75.29,58,3,15.46
255,San Luis,AR,2022-06-28 17:41:14,-33.295,-66.3356,62.71,34,1,16.91
256,Ilulissat,GL,2022-06-28 17:41:14,69.2167,-51.1,57.22,44,0,3.44
257,Artigas,UY,2022-06-28 17:36:27,-30.4,-56.4667,52.39,94,100,12.33
258,Saryg-Sep,RU,2022-06-28 17:41:15,51.5,95.6,55.56,80,58,2.68
259,Riyadh,SA,2022-06-28 17:40:11,24.6877,46.7219,98.74,10,100,10.78
260,Tiksi,RU,2022-06-28 17:41:16,71.6872,128.8694,38.52,70,76,13.87
261,Russell,US,2022-06-28 17:41:16,32.3502,-85.1999,94.28,45,20,0.0
262,Hay River,CA,2022-06-28 17:41:17,60.8156,-115.7999,67.98,52,40,6.91
263,Grafton,US,2022-06-28 17:41:17,42.207,-71.6856,79.52,51,100,5.75
264,Kaeo,NZ,2022-06-28 17:41:18,-35.1,173.7833,57.33,96,100,13.62
265,Orlik,RU,2022-06-28 17:41:18,52.5178,99.825,54.37,96,81,1.7
266,San Quintin,MX,2022-06-28 17:41:19,30.4833,-115.95,78.33,53,2,7.2
267,Ambad,IN,2022-06-28 17:41:19,19.6167,75.8,79.2,76,100,10.29
268,Adre,TD,2022-06-28 17:41:20,13.4667,22.2,76.66,63,94,12.26
269,Eyl,SO,2022-06-28 17:41:20,7.9803,49.8164,80.08,68,99,29.42
270,Vestmannaeyjar,IS,2022-06-28 17:41:21,63.4427,-20.2734,50.99,93,75,11.5
271,Ostersund,SE,2022-06-28 17:41:21,63.1792,14.6357,64.85,100,40,4.61
272,San Lawrenz,MT,2022-06-28 17:41:22,36.0553,14.204,92.61,69,0,6.89
273,Kiruna,SE,2022-06-28 17:41:22,67.8557,20.2251,76.12,57,20,10.36
274,Tuatapere,NZ,2022-06-28 17:41:23,-46.1333,167.6833,40.87,86,100,8.16
275,Ust-Koksa,RU,2022-06-28 17:41:23,50.2696,85.6108,52.21,85,0,1.5
